YDL181W	YDL130W-A	51.43	70	34	0	17	86	18	87	4e-22	82.8
 YDL182W	YDL131W	92.36	419	30	1	7	425	21	437	0.0	  792
 YDL184C	YDL133C-A	100.00	26	0	0	1	26	1	26	9e-08	41.6
YDR272W	YOR040W	59.06	276	112	1	1	275	11	286	2e-125	  361
 YDR273W	YOR042W	55.56	54	24	0	86	139	101	154	3e-14	71.6
 YDR275W	YOR044W	38.00	50	31	0	64	113	9	58	6e-05	40.0
 YDR277C	YOR047C	58.35	449	168	4	1	434	1	445	7e-167	  479
YDR447C	YML024W	100.00	135	0	0	1	135	1	135	1e-95	  273
 YDR450W	YML026C	100.00	147	0	0	1	147	1	147	2e-106	  302
 YDR451C	YML027W	43.30	261	120	5	27	277	30	272	3e-53	  181
YDR500C	YLR185W	93.26	89	6	0	1	89	1	89	4e-55	  167
 YDR501W	YLR183C	60.83	120	46	1	404	522	371	490	2e-43	  160
 YDR502C	YLR180W	92.63	380	28	0	6	385	4	383	0.0	  710
YER056C-A	YIL052C	98.36	122	2	0	1	122	1	122	9e-84	  242
 YER057C	YIL051C	70.54	129	38	0	2	130	18	146	2e-64	  194
 YER059W	YIL050W	47.10	276	84	5	133	408	71	284	1e-76	  241
YFR012W	YOL019W	26.75	157	103	4	3	153	4	154	1e-09	55.1
 YFR013W	YOL017W	29.09	519	259	12	146	645	129	557	7e-56	  203
 YFR014C	YOL016C	62.60	393	134	3	27	410	37	425	3e-180	  513
YGL222C	YER035W	27.01	137	63	5	52	176	35	146	9e-06	41.6
 YGL224C	YER037W	45.04	282	142	7	7	276	4	284	6e-75	  233
 YGL225W	YER039C	79.74	232	43	1	98	325	1	232	2e-131	  377
YGR141W	YPR157W	58.44	462	181	6	17	468	8	468	0.0	  556
 YGR142W	YPR158W	31.58	171	113	3	39	209	26	192	3e-19	84.7
 YGR143W	YPR159W	70.12	723	158	11	51	771	53	719	0.0	 1016
YHR053C	YHR055C	100.00	62	0	0	1	62	1	62	2e-36	  117
 YHR054C	YHR056C	100.00	355	0	0	1	355	530	884	0.0	  709
 YHR055C	YHR053C	100.00	62	0	0	1	62	1	62	2e-36	  117
 YHR056C	YHR054C	100.00	355	0	0	530	884	1	355	0.0	  709
YHR132W-A	YNL157W	57.94	107	43	1	2	108	3	107	5e-37	  125
 YHR133C	YNL156C	35.49	293	143	6	39	291	12	298	5e-51	  171
 YHR135C	YNL154C	63.65	586	118	8	4	539	7	547	0.0	  680
YJL136C	YKR057W	98.86	88	1	0	1	88	1	88	6e-60	  179
 YJL137C	YKR058W	49.67	304	148	3	1	301	1	302	4e-99	  308
 YJL138C	YKR059W	100.00	396	0	0	1	396	1	396	0.0	  811
YKR057W	YJL136C	98.86	88	1	0	1	88	1	88	6e-60	  179
 YKR058W	YJL137C	49.67	304	148	3	1	302	1	301	6e-99	  308
 YKR059W	YJL138C	100.00	396	0	0	1	396	1	396	0.0	  811
YLR028C	YMR120C	84.99	593	88	1	1	592	1	593	0.0	 1068
 YLR029C	YMR121C	99.02	205	2	0	1	205	1	205	9e-148	  411
 YLR031W	YMR124W	31.82	132	79	2	61	183	809	938	2e-08	51.2
YML024W	YDR447C	100.00	135	0	0	1	135	1	135	1e-95	  273
 YML026C	YDR450W	100.00	147	0	0	1	147	1	147	2e-106	  302
 YML027W	YDR451C	36.88	404	187	14	1	386	1	354	2e-50	  173
YML106W	YMR271C	75.34	219	54	0	5	223	8	226	2e-122	  349
 YML109W	YMR273C	76.15	109	23	1	808	913	794	902	4e-48	  183
 YML111W	YMR275C	54.04	879	349	10	82	918	109	974	0.0	  918
YMR120C	YLR028C	84.99	593	88	1	1	593	1	592	0.0	 1068
 YMR121C	YLR029C	99.02	205	2	0	1	205	1	205	9e-148	  411
 YMR124W	YLR031W	32.31	130	81	1	809	938	61	183	2e-09	56.2
YMR142C	YDL082W	99.00	200	2	0	1	200	1	200	9e-141	  393
 YMR143W	YDL083C	100.00	144	0	0	1	144	1	144	1e-101	  290
 YMR145C	YDL085W	61.99	513	190	1	49	561	39	546	0.0	  641
YMR180C	YPL228W	28.69	237	153	10	84	310	302	532	9e-18	81.6
 YMR181C	YPL229W	36.70	109	46	2	62	153	101	203	7e-14	64.3
 YMR182C	YPL230W	65.22	69	22	1	6	74	30	96	1e-27	  106
YMR194W	YPL249C-A	98.02	101	2	0	1	101	1	101	2e-65	  194
 YMR195W	YPL250C	29.93	137	83	4	1	126	1	135	4e-05	38.9
 YMR198W	YPL253C	25.43	523	359	10	11	521	17	520	1e-23	  103
 YMR199W	YPL256C	57.66	529	189	9	7	521	9	516	0.0	  601
YOR389W	YPL277C	96.29	458	16	1	1	457	1	458	0.0	  892
 YOR390W	YPL279C	99.20	376	3	0	1	376	1	376	0.0	  768
 YOR391C	YPL280W	99.58	238	1	0	1	238	1	238	2e-175	  484
YPL228W	YMR180C	28.69	237	153	10	302	532	84	310	2e-17	81.6
 YPL229W	YMR181C	43.96	91	38	3	114	203	75	153	1e-14	67.0
 YPL230W	YMR182C	65.22	69	22	1	30	96	6	74	2e-27	  107
YPL249C-A	YMR194W	98.02	101	2	0	1	101	1	101	2e-65	  194
 YPL250C	YMR195W	30.22	139	84	4	1	137	1	128	4e-07	43.9
 YPL253C	YMR198W	25.43	523	359	10	17	520	11	521	1e-23	  103
 YPL256C	YMR199W	55.94	556	200	10	9	541	7	540	0.0	  596
YPL277C	YOR389W	96.29	458	16	1	1	458	1	457	0.0	  891
 YPL279C	YOR390W	99.20	376	3	0	1	376	1	376	0.0	  768
 YPL280W	YOR391C	99.58	238	1	0	1	238	1	238	2e-175	  484
