YAL005C	YLL024C	97.67	643	12	1	1	643	1	640	0.0	 1277
YAL005C	YBL075C	79.85	650	124	4	1	643	1	650	0.0	 1055
YAL005C	YER103W	81.30	647	113	4	1	643	1	643	0.0	 1053
YAL005C	YJL034W	64.50	614	212	4	5	616	53	662	0.0	  811
YAL005C	YNL209W	63.84	567	199	4	4	565	9	574	0.0	  728
YAL005C	YDL229W	64.02	567	198	4	4	565	9	574	0.0	  727
YAL005C	YJR045C	51.63	614	273	11	5	607	33	633	0.0	  585
YAL005C	YEL030W	49.19	620	289	11	5	612	30	635	0.0	  554
YAL005C	YLR369W	49.27	548	254	8	3	533	29	569	9e-179	  525
YAL005C	YPL106C	34.26	432	270	6	1	421	1	429	6e-78	  263
YAL005C	YBR169C	34.72	432	268	6	1	421	1	429	9e-72	  246
YAL005C	YHR064C	30.72	459	296	9	2	444	3	455	6e-61	  213
YAL005C	YKL073W	25.39	579	378	19	46	577	76	647	8e-35	  139
YAL007C	YOR016C	75.13	193	45	1	24	216	19	208	6e-106	  306
YAL007C	YDL018C	26.67	210	126	8	30	216	22	226	4e-15	69.7
YAL007C	YGL200C	23.94	188	112	7	36	207	25	197	2e-08	50.4
YAL012W	YGL184C	32.20	410	246	12	8	392	5	407	5e-54	  186
YAL012W	YLR303W	29.91	438	245	12	9	390	5	436	4e-38	  142
YAL012W	YHR112C	30.25	400	232	16	9	391	4	373	1e-33	  128
YAL012W	YFR055W	27.99	293	199	7	50	338	56	340	1e-31	  122
YAL012W	YJR130C	28.57	259	167	11	143	392	387	636	3e-11	62.8
YAL012W	YLL058W	27.41	270	159	11	137	389	315	564	2e-09	57.4
YAL014C	YGL212W	36.84	76	47	1	155	230	241	315	5e-06	45.1
YAL015C	YOL043C	50.88	285	140	0	33	317	38	322	3e-100	  305
YAL017W	YOL045W	55.73	1012	337	15	355	1357	193	1102	0.0	 1063
YAL017W	YOL045W	58.82	51	21	0	117	167	47	97	3e-11	66.2
YAL017W	YDR507C	32.96	267	151	7	1102	1348	25	283	3e-30	  127
YAL017W	YCL024W	33.21	262	155	8	1100	1348	25	279	3e-29	  124
YAL017W	YDR477W	31.88	229	140	6	1077	1304	39	252	1e-28	  121
YAL017W	YLR096W	25.77	388	236	10	1002	1354	7	377	1e-27	  119
YAL017W	YCR091W	30.69	277	148	11	1096	1342	324	586	5e-26	  113
YAL017W	YJL164C	28.31	325	199	13	1047	1354	34	341	1e-25	  109
YAL017W	YFR014C	29.87	298	178	11	1078	1355	14	300	1e-25	  109
YAL017W	YDL025C	29.33	283	161	10	1100	1355	306	576	2e-25	  111
YAL017W	YNR047W	30.00	280	149	11	1096	1342	496	761	2e-25	  112
YAL017W	YKL166C	28.57	273	169	9	1093	1354	85	342	7e-25	  107
YAL017W	YDR122W	26.53	294	186	9	1087	1355	111	399	7e-25	  110
YAL017W	YKL101W	28.57	329	169	11	1067	1348	54	363	1e-24	  109
YAL017W	YOL100W	29.45	326	186	16	1048	1348	131	437	2e-24	  109
YAL017W	YDR490C	29.23	284	165	9	1088	1348	115	385	2e-24	  108
YAL017W	YOL016C	29.04	303	180	11	1070	1354	24	309	8e-24	  104
YAL017W	YAR019C	29.93	284	164	10	1078	1354	17	272	1e-23	  106
YAL017W	YGL158W	30.64	297	159	11	1099	1354	124	414	2e-23	  103
YAL017W	YPL153C	30.13	229	129	9	1093	1304	194	408	3e-23	  104
YAL017W	YCR008W	28.72	282	157	10	1102	1353	322	589	4e-23	  103
YAL017W	YMR001C	28.05	303	184	12	1065	1354	56	337	6e-23	  103
YAL017W	YHR205W	27.05	281	180	7	1075	1347	398	661	5e-22	  100
YAL017W	YPL141C	31.28	227	128	9	1087	1298	33	246	7e-22	  100
YAL017W	YDR466W	28.99	238	136	7	1095	1310	10	236	1e-21	  100
YAL017W	YPL203W	26.09	276	168	8	1080	1342	55	307	2e-21	96.7
YAL017W	YOR267C	31.78	214	122	9	1102	1304	221	421	6e-21	97.4
YAL017W	YOL113W	27.90	276	168	9	1096	1345	360	630	1e-20	96.3
YAL017W	YBL105C	23.66	355	243	9	958	1309	700	1029	2e-20	95.9
YAL017W	YDL028C	26.83	287	164	12	1094	1348	438	710	5e-20	94.4
YAL017W	YDL101C	26.54	309	177	10	1082	1354	186	480	6e-20	93.2
YAL017W	YBR274W	29.72	286	168	12	1089	1355	11	282	9e-20	92.8
YAL017W	YNL183C	32.38	210	118	10	1146	1347	485	678	9e-20	93.6
YAL017W	YJL095W	26.79	265	165	9	1102	1348	1181	1434	1e-19	93.6
YAL017W	YOR233W	27.87	287	178	8	1087	1354	37	313	3e-19	92.0
YAL017W	YNL298W	29.24	277	147	12	1096	1339	546	806	4e-19	91.7
YAL017W	YLR248W	27.41	343	167	11	1080	1354	150	478	7e-19	90.1
YAL017W	YPL150W	24.54	269	153	6	1099	1348	44	281	1e-18	90.1
YAL017W	YDL159W	27.14	269	154	7	1092	1343	187	430	1e-18	89.4
YAL017W	YPR054W	28.57	245	147	6	1066	1294	8	240	2e-18	87.4
YAL017W	YGL179C	27.97	261	152	11	1093	1323	47	301	2e-18	88.6
YAL017W	YDL214C	29.82	218	118	9	1102	1304	367	564	4e-18	88.2
YAL017W	YER129W	26.69	281	154	11	1099	1331	136	412	1e-17	87.4
YAL017W	YKL168C	28.51	228	127	8	1102	1299	418	639	1e-17	86.7
YAL017W	YHL007C	28.04	214	134	7	1096	1306	620	816	2e-17	86.3
YAL017W	YOR231W	29.27	205	130	6	1098	1298	223	416	2e-17	85.1
YAL017W	YKL198C	32.93	167	87	4	1186	1330	283	446	3e-17	85.1
YAL017W	YPL209C	25.30	253	163	9	1113	1355	120	356	3e-17	83.2
YAL017W	YGR052W	29.44	180	95	6	1150	1304	50	222	6e-17	82.4
YAL017W	YHR082C	30.77	208	110	9	1109	1304	104	289	6e-17	84.7
YAL017W	YDR523C	30.19	212	126	8	1094	1298	15	211	9e-17	83.2
YAL017W	YMR291W	29.00	269	122	10	1102	1312	45	302	1e-16	83.2
YAL017W	YBR028C	23.93	305	182	8	1083	1346	115	410	1e-16	82.8
YAL017W	YKL139W	26.24	221	145	4	1094	1310	181	387	2e-16	82.0
YAL017W	YCR073C	24.49	294	160	11	1102	1355	1040	1311	9e-16	80.9
